proof,additiona_proof_concepts,relation_instance,operation_instance,implicit_operation_instance,reductio,gist,moral,notes
1,three,"cut(circle, circle)","construct_on(equilateteral_triangle, finite_straight_line)->equilateral_triangle",,0,,,
1,,"is_center_of(point, circle)","draw(center, interval)->circle",,,,,
1,,"equals(finite_straight_line, finite_straight_line)","join(point, point)->finite_straight_line",,,,,
2,,"equals(finite_straight_line, finite_straight_line)","join(point, point)->finite_straight_line",,0,,,
2,,,"construct_on(equilateteral_triangle, finite_straight_line)->equilateral_triangle",,,,,
2,,,produce(finite_straight_line)->finite_straight_line,,,,,
2,,,"draw(center, interval)->circle",,,,,
3,,"greater_than(finite_straight_line, finite_straight_line)","subtract(finite_straight_line, finite_straight_line)->finite_straight_line",,0,,,
3,,"equals(finite_straight_line, finite_straight_line)","draw(center, interval)->circle",,,,,
4,"triangle, two, corresponding, angle","equals(side_of_triangle, side_of_triangle)","fit(triangle, triangle)->triangle",,0,,,"These operations may not qualify as constructions. However, the proposition may rely on proposition 3."
4,,"equals(interior_angle_of_triangle, interior_angle_of_triangle)","place_on(point, point)->point",,,,,Reliance on proposition 3?
4,,"corresponding(finite_straight_line, finite_straight_line)","place_on(finite_straight_line, finite_straight_line)->finite_straight_line",,,,,
4,,"corresponding(interior_angle_of_triangle, interior_angle_of_triangle)","fit(point, point)->point",,,,,
4,,"encompassing(finite_straight_line, finite_straight_line, interior_angle_of_triangle)","fit(finite_straight_line, finite_straight_line)->finite_straight_line",,,,,
4,,"equals(base_of_triangle, base_of_triangle)",,,,,,
4,,"remaining(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,
4,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,
4,,"equals(triangle, triangle)",,,,,,
4,,is_triangle(triangle),,,,,,
5,"isosceles_triangle, two, whole","at_base(interior_angle_of_triangle, isosceles_triangle)",extend(side_of_triangle)->finite_straight_line,"sum(angle, angle)->angle",0,,,impossible to describe the proof of 5a without describing the full proof of 5
5,,"equals(angle, angle)","choose_at_random(point, finite_straight_line)->point",,,,,
5,,"equals(side_of_triangle, side_of_triangle)","subtract(finite_straight_line, finite_straight_line)->finite_straight_line",,,,,
5,,"under_base(angle, isosceles_triangle)","join(point, point)->finite_straight_line",,,,,
5,,"at_base(interior_angle_of_triangle, isosceles_triangle)",,,,,,
5,,"greater_than(finite_straight_line, finite_straight_line)",,,,,,
5,,"equals(finite_straight_line, finite_straight_line)",,,,,,
5,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,
5,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,
5,,"are_same(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,
5,,"equals(base_of_triangle, base_of_triangle)",,,,,,
5,,"equals(triangle, triangle)",,,,,,
5,,remaining(interior_angle_of_triangle),,,,,,
5,,"corresponding(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,
5,,"are_same(base_of_triangle, base_of_triangle)",,,,,,
5,,is_triangle(triangle),,,,,,
6,absurd,"equals(side_of_triangle, side_of_triangle)","subtract(side_of_triangle, side_of_triangle)->finite_straight_line",,1,,,"Uses proposition 4 and, therefore, maybe also proposition 3."
6,,"equals(angle, angle)","join(point, point)->finite_straight_line",,,,,
6,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,
6,,"unequal(side_of_triangle, side_of_triangle)",,,,,,
6,,"greater_than(side_of_triangle, side_of_triangle)",,,,,,
6,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,
6,,"equals(base_of_triangle, base_of_triangle)",,,,,,
6,,"equals(triangle, triangle)",,,,,,
6,,"greater_than(triangle, triangle)",,,,,,
6,,is_triangle(triangle),,,,,,
7,"possible, two, impossible","is_placed_on(finite_straight_line, finite_straight_line)","construct_to_given_point(finite_straight_line, point, point)->finite_straight_line",,1,,,
7,,"corresponding(finite_straight_line, finite_straight_line)",,,,,,
7,,"is_on_the_same_part(finite_straight_line, finite_straight_line, part)",,,,,,
7,,"equals(finite_straight_line, finite_straight_line)",,,,,,
7,,"corresponding(finite_straight_line, finite_straight_line)",,,,,,
7,,"distinct(point, point)",,,,,,
7,,"equals(angle, angle)",,,,,,
7,,"subtended_by(angle, finite_straight_line, finite_straight_line)",,,,,,
7,,"greater_than(angle, angle)",,,,,,
7,,is_triangle(triangle),,,,,,
8,two,"equals(side_of_triangle, side_of_triangle)","fit(triangle, triangle)->triangle",,,,,
8,,"corresponding(side_of_triangle, side_of_triangle)","place_on(point, point)->point",,,,,
